!!ObjTables type='Data' tableFormat='row' class='Metabolite' name='Metabolites' date='2020-06-02 16:01:35' objTablesVersion='1.0.0'		
!Id	!Name	!Formula
2ddg6p	2-dehydro-3-deoxy-D-gluconate 6-phosphate	C6H8O9P
2pg	D-Glycerate 2-phosphate	C3H4O7P
3pg	3-Phospho-D-glycerate	C3H4O7P
6pgc	6-Phospho-D-gluconate	C6H10O10P
6pgl	6-phospho-D-glucono-1,5-lactone	C6H9O9P
13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2
ac	Acetate	C2H3O2
acald	Acetaldehyde	C2H4O
accoa	Acetyl-CoA	C23H34N7O17P3S
acon-C	cis-Aconitate	C6H3O6
actp	Acetyl phosphate	C2H3O5P
adp	Adenosine diphosphate	C10H12N5O10P2
akg	2-Oxoglutarate	C5H4O5
amp	Adenosine monophosphate	C10H12N5O7P
atp	Adenosine triphosphate	C10H12N5O13P3
cit	Citrate	C6H5O7
co2	CO2	CO2
coa	Coenzyme A	C21H32N7O16P3S
dhap	Dihydroxyacetone phosphate	C3H5O6P
e4p	D-Erythrose 4-phosphate	C4H7O7P
etoh	Ethanol	C2H6O
f1p	Fructose-1-phosphate	C6H11O9P
f6p	D-Fructose 6-phosphate	C6H11O9P
fdp	D-Fructose 1,6-bisphosphate	C6H10O12P2
for	Formate	CHO2
fru	D-Fructose	C6H12O6
fum	Fumarate	C4H2O4
g1p	D-Glucose 1-phosphate	C6H11O9P
g3p	Glyceraldehyde 3-phosphate	C3H5O6P
g6p	D-Glucose 6-phosphate	C6H11O9P
gal	Galactose	C6H12O6
gal1p	Galactose-1-phosphate	C6H11O9P
glc-D	D-Glucose	C6H12O6
glcn	Gluconate	C6H11O7
gln-L	L-Glutamine	C5H10N2O3
glu-L	L-Glutamate	C5H8NO4
glx	Glyoxylate	C2HO3
glyc	Glycerol	C3H8O3
glyc3p	Glycerol 3-phosphate	C3H7O6P
h	H+	H
h2o	H2O	H2O
icit	Isocitrate	C6H5O7
lac-D	D-Lactate	C3H5O3
mal-L	L-Malate	C4H4O5
nad	Nicotinamide adenine dinucleotide	C21H26N7O14P2
nadh	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2
nadp	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3
nadph	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3
nh4	Ammonium	H4N
o2	O2	O2
oaa	Oxaloacetate	C4H2O5
pep	Phosphoenolpyruvate	C3H2O6P
pi	Phosphate	HO4P
pyr	Pyruvate	C3H3O3
q8	Ubiquinone-8	C49H74O4
q8h2	Ubiquinol-8	C49H76O4
r5p	alpha-D-Ribose 5-phosphate	C5H9O8P
ru5p-D	D-Ribulose 5-phosphate	C5H9O8P
s7p	Sedoheptulose 7-phosphate	C7H13O10P
succ	Succinate	C4H4O4
succoa	Succinyl-CoA	C25H35N7O19P3S
xu5p-D	D-Xylulose 5-phosphate	C5H9O8P
