!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:18:30' objTablesVersion='1.0.5' document='BIOMD0000000064',,,,,,,,,,,,,,,,,
!Symbol,!QuantityType,!Sign,!Unit,!BiologicalElement,!MathematicalType,!PriorMedian,!PriorStd,!PriorGeometricStd,!LowerBound,!UpperBound,!DataStd,!PhysicalType,!Dependence,!UseAsPriorInformation,!SBMLElement,!Abbreviation,!MatrixInfo
mu0,standard chemical potential,0,kJ/mol,Species,Additive,-880.0,1500.0,,-3000.0,2000.0,10.0,Thermodynamic,Basic,True,Global parameter ,scp,"[I_species, 0, 0, 0, 0, 0, 0, 0]"
KV,catalytic rate constant geometric mean,0,1/s,Reaction,Multiplicative,10.0,,100.0,1e-07,10000.0,100.0,Kinetic,Basic,True,Local parameter,kcrg,"[0, I_reaction, 0, 0, 0, 0, 0, 0]"
KM,Michaelis constant,0,mM,Reaction/Species,Multiplicative,0.1,,10.0,1e-06,1000.0,1.0,Kinetic,Basic,True,Local parameter,kmc,"[0, 0, I_KM, 0, 0, 0, 0, 0]"
KA,activation constant,0,mM,Reaction/Species,Multiplicative,0.1,,10.0,0.0001,100.0,1.0,Kinetic,Basic,True,Local parameter,kac,"[0, 0, 0, I_KA, 0, 0, 0, 0]"
KI,inhibitory constant,0,mM,Reaction/Species,Multiplicative,0.1,,10.0,0.0001,100.0,1.0,Kinetic,Basic,True,Local parameter,kic,"[0, 0, 0, 0, I_KI, 0, 0, 0]"
c,concentration,0,mM,Species,Multiplicative,0.1,,10.0,1e-06,1000.0,1.0,Dynamic,Basic,True,Species (conc.),c,"[0, 0, 0, 0, 0, I_species, 0, 0]"
u,concentration of enzyme,0,mM,Reaction,Multiplicative,0.001,,100.0,1e-06,0.5,0.05,Dynamic,Basic,True,Local parameter,eco,"[0, 0, 0, 0, 0, 0, I_reaction, 0]"
pH,pH,0,dimensionless,None,Additive,7.0,1.0,,0.0,14.0,1.0,Dynamic,Basic,True,Global parameter,ph,"[0, 0, 0, 0, 0, 0, 0, 1]"
dmu0,standard Gibbs energy of reaction,0,kJ/mol,Reaction,Additive,0.0,1500.0,,-1000.0,1000.0,10.0,Thermodynamic,Derived,False,Global parameter ,dscp,"[Nt, 0, 0, 0, 0, 0, 0, 0]"
Keq,equilibrium constant,0,dimensionless,Reaction,Multiplicative,1.0,,100.0,1e-10,100000000.0,100.0,Thermodynamic,Derived,True,Local parameter,keq,"[[-1/RT * Nt], 0, 0, 0, 0, 0, 0, 0]"
Kcatf,substrate catalytic rate constant,0,1/s,Reaction,Multiplicative,10.0,,100.0,0.01,10000000.0,100.0,Kinetic,Derived,True,Local parameter  ,kcrf,"[[-0.5/RT * Nt], I_reaction, [-0.5 * Nkm], 0, 0, 0, 0, 0]"
Kcatr,product catalytic rate constant,0,1/s,Reaction,Multiplicative,10.0,,100.0,1e-09,10000000.0,100.0,Kinetic,Derived,True,Local parameter ,kcrr,"[[0.5/RT * Nt], I_reaction, [0.5 * Nkm], 0, 0, 0, 0, 0]"
mu,chemical potential,0,kJ/mol,Species,Additive,-880.0,1500.0,,-3000.0,2000.0,20.0,Dynamic,Derived,False,,cp,"[I_species, 0, 0, 0, 0, [RT * I_species], 0, 0]"
A,reaction affinity,0,kJ/mol,Reaction,Additive,0.0,10.0,,-60.0,60.0,10.0,Dynamic,Derived,False,,raf,"[[-1 * Nt], 0, 0, 0, 0, [-RT * Nt], 0, 0]"
Vmaxf,forward maximal velocity,0,mM/s,Reaction,Multiplicative,0.01,,100.0,1e-08,1000000.0,0.1,Dynamic,Derived,False,Local parameter,vmaf,"[[-0.5/RT * Nt], I_reaction, [-0.5 * Nkm], 0, 0, 0, I_reaction, 0]"
Vmaxr,reverse maximal velocity,0,mM/s,Reaction,Multiplicative,0.01,,100.0,1e-08,1000000.0,0.1,Dynamic,Derived,False,Local parameter,vmar,"[[0.5/RT * Nt], I_reaction, [0.5 * Nkm], 0, 0, 0, I_reaction, 0]"
thetaf,forward mass action term,0,1/s,Reaction,Multiplicative,1.0,,1000.0,1e-07,10000000.0,1.0,Dynamic,Derived,False,,thtf,"[[-1/(2*RT) * h * Nt], I_reaction, - 1/2 * h * abs(Nkm), 0, 0, h * Nft, 0, 0]"
thetar,reverse mass action term,0,1/s,Reaction,Multiplicative,1.0,,1000.0,1e-07,10000000.0,1.0,Dynamic,Derived,False,,thtr,"[[ 1/(2*RT) * h * Nt], I_reaction, - 1/2 * h * abs(Nkm), 0, 0, h * Nrt, 0, 0]"
tauf,forward enzyme mass action term,0,mM/s,Reaction,Multiplicative,1.0,,1000.0,1e-07,10000000.0,1.0,Dynamic,Derived,False,,tauf,"[[-1/(2*RT) * h * Nt], I_reaction, - 1/2 * h * abs(Nkm), 0, 0, h * Nft, I_reaction, 0]"
taur,reverse enzyme mass action term,0,mM/s,Reaction,Multiplicative,1.0,,1000.0,1e-07,10000000.0,1.0,Dynamic,Derived,False,,taur,"[[ 1/(2*RT) * h * Nt], I_reaction, - 1/2 * h * abs(Nkm), 0, 0, h * Nrt, I_reaction, 0]"
KMprod,Michaelis constant product,0,mM,Reaction,Multiplicative,1.0,,1000.0,0.001,1000.0,1.0,Kinetic,Derived,False,Local parameter,kmprod,"[0, 0, Nkm, 0, 0, 0, 0, 0]"
